run_id,master_sha256,scenario_seed,assignment_id,scenario_id,annotator_id,outcome,reject_reason_code,mismatch_detail_code,label_status,labeled_at,origin_id,origin_store_id,day_of_week,visit_time,companion_type,gender_code,age_group,available_time_code,budget_code,purpose_code,requested_atmosphere_code,hill_preference,parking_preference,shown_store_id,store_name,category_group,category_main,category_sub,road_address,place_url,representative_item,representative_price_krw,store_atmosphere,parking_available,straight_line_distance_m,estimated_walking_distance_m,estimated_walking_time_min,slope_level,opening_status,parking_status,price_status,shown_store_snapshot
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0001,SCN-0001,A01,ACCEPTED,null,null,COMPLETED,2026-07-22 04:16:08.23717+00,ORG-S0064,S0064,토,15:00,ALONE,FEMALE,TEENS,UNDER_60,NO_PREFERENCE,EXPERIENCE,LIVELY,AVOID,REQUIRED,S0006,다츠 한남,F&B,음식점,아시아음식,서울특별시 용산구 이태원로55나길 6 1층 1호 다츠,https://pcmap.place.naver.com/restaurant/247810366/home,런치-연두부 샐러드,17000.0,조용함,Y,108,135,2,평탄,OPEN,Y,KNOWN,"{""phone"":""0507-1309-7445"",""latitude"":""37.536664"",""store_id"":""S0006"",""active_yn"":""Y"",""age_group"":""TEENS"",""longitude"":""126.9990952"",""place_url"":""https://pcmap.place.naver.com/restaurant/247810366/home"",""atmosphere"":""조용함"",""store_name"":""다츠 한남"",""visit_time"":""15:00"",""budget_code"":""NO_PREFERENCE"",""day_of_week"":""토"",""gender_code"":""FEMALE"",""origin_id_x"":""ORG-S0064"",""origin_id_y"":""ORG-S0064"",""scenario_id"":""SCN-0001"",""slope_level"":""평탄"",""annotator_id"":""A01"",""category_sub"":""아시아음식"",""price_status"":""KNOWN"",""purpose_code"":""EXPERIENCE"",""road_address"":""서울특별시 용산구 이태원로55나길 6 1층 1호 다츠"",""category_main"":""음식점"",""category_group"":""F&B"",""companion_type"":""ALONE"",""naver_place_id"":""247810366"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0006"",""atmosphere_code"":""LIVELY"",""hill_preference"":""AVOID"",""origin_store_id"":""S0064"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""REQUIRED"",""available_time_code"":""UNDER_60"",""representative_item"":""런치-연두부 샐러드"",""destination_store_id"":""S0006"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":""17000.0"",""straight_line_distance_m"":""108"",""estimated_walking_time_min"":""2"",""estimated_walking_distance_m"":""135""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0002,SCN-0002,A02,REJECTED,MISMATCH,PURPOSE_MISMATCH,COMPLETED,2026-07-22 04:19:13.013859+00,ORG-S0052,S0052,토,14:00,FRIENDS,null,30S,OVER_120,UNDER_10000,EXPERIENCE,LIVELY,AVOID,NO_PREFERENCE,S0024,스시사와,F&B,음식점,일식,서울특별시 용산구 이태원로55가길 18,https://pcmap.place.naver.com/restaurant/870392464/home,지라시스시,30000.0,조용함,N,100,125,2,평탄,OPEN,N,KNOWN,"{""phone"":""02-797-1112"",""latitude"":""37.5376328"",""store_id"":""S0024"",""active_yn"":""Y"",""age_group"":""30S"",""longitude"":""127.0001811"",""place_url"":""https://pcmap.place.naver.com/restaurant/870392464/home"",""atmosphere"":""조용함"",""store_name"":""스시사와"",""visit_time"":""14:00"",""budget_code"":""UNDER_10000"",""day_of_week"":""토"",""gender_code"":null,""origin_id_x"":""ORG-S0052"",""origin_id_y"":""ORG-S0052"",""scenario_id"":""SCN-0002"",""slope_level"":""평탄"",""annotator_id"":""A02"",""category_sub"":""일식"",""price_status"":""KNOWN"",""purpose_code"":""EXPERIENCE"",""road_address"":""서울특별시 용산구 이태원로55가길 18"",""category_main"":""음식점"",""category_group"":""F&B"",""companion_type"":""FRIENDS"",""naver_place_id"":""870392464"",""opening_status"":""OPEN"",""parking_status"":""N"",""shown_store_id"":""S0024"",""atmosphere_code"":""LIVELY"",""hill_preference"":""AVOID"",""origin_store_id"":""S0052"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""N"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""NO_PREFERENCE"",""available_time_code"":""OVER_120"",""representative_item"":""지라시스시"",""destination_store_id"":""S0024"",""destination_elevation_m"":""55"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":""30000.0"",""straight_line_distance_m"":""100"",""estimated_walking_time_min"":""2"",""estimated_walking_distance_m"":""125""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0003,SCN-0003,A03,ACCEPTED,null,null,COMPLETED,2026-07-22 04:18:04.066387+00,ORG-S0020,S0020,수,11:00,FRIENDS,null,TEENS,FROM_60_TO_120,FREE,BROWSE,QUIET,NO_PREFERENCE,REQUIRED,S0005,뉴스프링프로젝트,문화·체험,전시·예술,갤러리·화랑,서울특별시 용산구 이태원로45길 22,https://pcmap.place.naver.com/place/1036778003/home,null,0.0,조용함,Y,133,166,2,평탄,OPEN,Y,KNOWN,"{""phone"":""0507-1323-0222"",""latitude"":""37.5364754"",""store_id"":""S0005"",""active_yn"":""Y"",""age_group"":""TEENS"",""longitude"":""126.9984339"",""place_url"":""https://pcmap.place.naver.com/place/1036778003/home"",""atmosphere"":""조용함"",""store_name"":""뉴스프링프로젝트"",""visit_time"":""11:00"",""budget_code"":""FREE"",""day_of_week"":""수"",""gender_code"":null,""origin_id_x"":""ORG-S0020"",""origin_id_y"":""ORG-S0020"",""scenario_id"":""SCN-0003"",""slope_level"":""평탄"",""annotator_id"":""A03"",""category_sub"":""갤러리·화랑"",""price_status"":""KNOWN"",""purpose_code"":""BROWSE"",""road_address"":""서울특별시 용산구 이태원로45길 22"",""category_main"":""전시·예술"",""category_group"":""문화·체험"",""companion_type"":""FRIENDS"",""naver_place_id"":""1036778003"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0005"",""atmosphere_code"":""QUIET"",""hill_preference"":""NO_PREFERENCE"",""origin_store_id"":""S0020"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""REQUIRED"",""available_time_code"":""FROM_60_TO_120"",""representative_item"":null,""destination_store_id"":""S0005"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":""0.0"",""straight_line_distance_m"":""133"",""estimated_walking_time_min"":""2"",""estimated_walking_distance_m"":""166""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0004,SCN-0004,A01,REJECTED,LOW_APPEAL,null,COMPLETED,2026-07-22 04:20:18.032021+00,ORG-S0036,S0036,금,20:00,COUPLE,null,20S,NO_PREFERENCE,FREE,NO_PREFERENCE,QUIET,AVOID,NO_PREFERENCE,S0042,오센트 한남스토어,소매,화장품·향수,향수,서울특별시 용산구 이태원로49길 20 1층 102호,https://pcmap.place.naver.com/place/1531902423/home,산리오 캐릭터스 행잉 퍼퓸,28000.0,조용함,Y,102,128,2,평탄,OPEN,Y,KNOWN,"{""phone"":""0507-1305-1517"",""latitude"":""37.537159"",""store_id"":""S0042"",""active_yn"":""Y"",""age_group"":""20S"",""longitude"":""126.9993788"",""place_url"":""https://pcmap.place.naver.com/place/1531902423/home"",""atmosphere"":""조용함"",""store_name"":""오센트 한남스토어"",""visit_time"":""20:00"",""budget_code"":""FREE"",""day_of_week"":""금"",""gender_code"":null,""origin_id_x"":""ORG-S0036"",""origin_id_y"":""ORG-S0036"",""scenario_id"":""SCN-0004"",""slope_level"":""평탄"",""annotator_id"":""A01"",""category_sub"":""향수"",""price_status"":""KNOWN"",""purpose_code"":""NO_PREFERENCE"",""road_address"":""서울특별시 용산구 이태원로49길 20 1층 102호"",""category_main"":""화장품·향수"",""category_group"":""소매"",""companion_type"":""COUPLE"",""naver_place_id"":""1531902423"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0042"",""atmosphere_code"":""QUIET"",""hill_preference"":""AVOID"",""origin_store_id"":""S0036"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""NO_PREFERENCE"",""available_time_code"":""NO_PREFERENCE"",""representative_item"":""산리오 캐릭터스 행잉 퍼퓸"",""destination_store_id"":""S0042"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":""28000.0"",""straight_line_distance_m"":""102"",""estimated_walking_time_min"":""2"",""estimated_walking_distance_m"":""128""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0005,SCN-0005,A02,ACCEPTED,null,null,COMPLETED,2026-07-22 04:19:31.241267+00,ORG-S0036,S0036,토,09:00,COUPLE,null,60_PLUS,NO_PREFERENCE,UNDER_30000,EXPERIENCE,LIVELY,NO_PREFERENCE,NO_PREFERENCE,S0070,mtl 한남,F&B,카페·디저트,카페,서울특별시 용산구 이태원로49길 24 1층 mtl,https://pcmap.place.naver.com/restaurant/36648938/home,커스타드커피,6800.0,활기참,Y,84,105,1,평탄,OPEN,Y,KNOWN,"{""phone"":""070-4113-3113"",""latitude"":""37.5370862"",""store_id"":""S0070"",""active_yn"":""Y"",""age_group"":""60_PLUS"",""longitude"":""126.9991391"",""place_url"":""https://pcmap.place.naver.com/restaurant/36648938/home"",""atmosphere"":""활기참"",""store_name"":""mtl 한남"",""visit_time"":""09:00"",""budget_code"":""UNDER_30000"",""day_of_week"":""토"",""gender_code"":null,""origin_id_x"":""ORG-S0036"",""origin_id_y"":""ORG-S0036"",""scenario_id"":""SCN-0005"",""slope_level"":""평탄"",""annotator_id"":""A02"",""category_sub"":""카페"",""price_status"":""KNOWN"",""purpose_code"":""EXPERIENCE"",""road_address"":""서울특별시 용산구 이태원로49길 24 1층 mtl"",""category_main"":""카페·디저트"",""category_group"":""F&B"",""companion_type"":""COUPLE"",""naver_place_id"":""36648938"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0070"",""atmosphere_code"":""LIVELY"",""hill_preference"":""NO_PREFERENCE"",""origin_store_id"":""S0036"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""활기참"",""origin_elevation_m"":""60"",""parking_preference"":""NO_PREFERENCE"",""available_time_code"":""NO_PREFERENCE"",""representative_item"":""커스타드커피"",""destination_store_id"":""S0070"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":""6800.0"",""straight_line_distance_m"":""84"",""estimated_walking_time_min"":""1"",""estimated_walking_distance_m"":""105""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0006,SCN-0006,A03,ACCEPTED,null,null,COMPLETED,2026-07-22 04:19:22.749207+00,ORG-S0002,S0002,토,12:00,ALONE,FEMALE,50S,FROM_60_TO_120,FREE,EXPERIENCE,LIVELY,NO_PREFERENCE,REQUIRED,S0021,빌라에이트,소매,리빙,가구·인테리어,서울특별시 용산구 이태원로49길 23 2층,https://pcmap.place.naver.com/place/767474835/home,색감있는 가구,null,조용함,Y,81,101,1,평탄,OPEN,Y,UNKNOWN,"{""phone"":""02-749-7492"",""latitude"":""37.5368722"",""store_id"":""S0021"",""active_yn"":""Y"",""age_group"":""50S"",""longitude"":""126.9991706"",""place_url"":""https://pcmap.place.naver.com/place/767474835/home"",""atmosphere"":""조용함"",""store_name"":""빌라에이트"",""visit_time"":""12:00"",""budget_code"":""FREE"",""day_of_week"":""토"",""gender_code"":""FEMALE"",""origin_id_x"":""ORG-S0002"",""origin_id_y"":""ORG-S0002"",""scenario_id"":""SCN-0006"",""slope_level"":""평탄"",""annotator_id"":""A03"",""category_sub"":""가구·인테리어"",""price_status"":""UNKNOWN"",""purpose_code"":""EXPERIENCE"",""road_address"":""서울특별시 용산구 이태원로49길 23 2층"",""category_main"":""리빙"",""category_group"":""소매"",""companion_type"":""ALONE"",""naver_place_id"":""767474835"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0021"",""atmosphere_code"":""LIVELY"",""hill_preference"":""NO_PREFERENCE"",""origin_store_id"":""S0002"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""REQUIRED"",""available_time_code"":""FROM_60_TO_120"",""representative_item"":""색감있는 가구"",""destination_store_id"":""S0021"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":null,""straight_line_distance_m"":""81"",""estimated_walking_time_min"":""1"",""estimated_walking_distance_m"":""101""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0007,SCN-0007,A01,ACCEPTED,null,null,COMPLETED,2026-07-22 04:22:14.154502+00,ORG-S0033,S0033,화,20:00,COUPLE,null,30S,FROM_60_TO_120,FREE,EXPERIENCE,QUIET,AVOID,NO_PREFERENCE,S0052,키엔,소매,패션,구제의류,서울특별시 용산구 이태원로55가길 38 지하1층,https://pcmap.place.naver.com/place/1244133436/home,null,null,조용함,N,23,29,1,평탄,OPEN,N,UNKNOWN,"{""phone"":""0507-1466-7561"",""latitude"":""37.5368853"",""store_id"":""S0052"",""active_yn"":""Y"",""age_group"":""30S"",""longitude"":""126.9995534"",""place_url"":""https://pcmap.place.naver.com/place/1244133436/home"",""atmosphere"":""조용함"",""store_name"":""키엔"",""visit_time"":""20:00"",""budget_code"":""FREE"",""day_of_week"":""화"",""gender_code"":null,""origin_id_x"":""ORG-S0033"",""origin_id_y"":""ORG-S0033"",""scenario_id"":""SCN-0007"",""slope_level"":""평탄"",""annotator_id"":""A01"",""category_sub"":""구제의류"",""price_status"":""UNKNOWN"",""purpose_code"":""EXPERIENCE"",""road_address"":""서울특별시 용산구 이태원로55가길 38 지하1층"",""category_main"":""패션"",""category_group"":""소매"",""companion_type"":""COUPLE"",""naver_place_id"":""1244133436"",""opening_status"":""OPEN"",""parking_status"":""N"",""shown_store_id"":""S0052"",""atmosphere_code"":""QUIET"",""hill_preference"":""AVOID"",""origin_store_id"":""S0033"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""N"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""NO_PREFERENCE"",""available_time_code"":""FROM_60_TO_120"",""representative_item"":null,""destination_store_id"":""S0052"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":null,""straight_line_distance_m"":""23"",""estimated_walking_time_min"":""1"",""estimated_walking_distance_m"":""29""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0008,SCN-0008,A02,ACCEPTED,null,null,COMPLETED,2026-07-22 04:20:12.254338+00,ORG-S0042,S0042,일,09:00,COUPLE,null,30S,FROM_60_TO_120,UNDER_30000,REST,QUIET,AVOID,REQUIRED,S0002,낫배드커피 한남,F&B,카페·디저트,카페,서울특별시 용산구 이태원로49길 37 낫배드커피 한남,https://pcmap.place.naver.com/restaurant/1411713405/home,살구 잠봉 포카치아 샌드위치,7900.0,조용함,Y,89,111,1,평탄,OPEN,Y,KNOWN,"{""phone"":""0507-1345-2172"",""latitude"":""37.5372309"",""store_id"":""S0002"",""active_yn"":""Y"",""age_group"":""30S"",""longitude"":""126.9983773"",""place_url"":""https://pcmap.place.naver.com/restaurant/1411713405/home"",""atmosphere"":""조용함"",""store_name"":""낫배드커피 한남"",""visit_time"":""09:00"",""budget_code"":""UNDER_30000"",""day_of_week"":""일"",""gender_code"":null,""origin_id_x"":""ORG-S0042"",""origin_id_y"":""ORG-S0042"",""scenario_id"":""SCN-0008"",""slope_level"":""평탄"",""annotator_id"":""A02"",""category_sub"":""카페"",""price_status"":""KNOWN"",""purpose_code"":""REST"",""road_address"":""서울특별시 용산구 이태원로49길 37 낫배드커피 한남"",""category_main"":""카페·디저트"",""category_group"":""F&B"",""companion_type"":""COUPLE"",""naver_place_id"":""1411713405"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0002"",""atmosphere_code"":""QUIET"",""hill_preference"":""AVOID"",""origin_store_id"":""S0042"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""REQUIRED"",""available_time_code"":""FROM_60_TO_120"",""representative_item"":""살구 잠봉 포카치아 샌드위치"",""destination_store_id"":""S0002"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":""7900.0"",""straight_line_distance_m"":""89"",""estimated_walking_time_min"":""1"",""estimated_walking_distance_m"":""111""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0009,SCN-0009,A03,REJECTED,LOW_APPEAL,null,COMPLETED,2026-07-22 04:21:44.39621+00,ORG-S0057,S0057,금,15:00,FRIENDS,null,60_PLUS,NO_PREFERENCE,FREE,BROWSE,LIVELY,NO_PREFERENCE,NO_PREFERENCE,S0003,노앙 한남 플래그십 스토어,소매,패션,패션,서울특별시 용산구 이태원로45길 24,https://pcmap.place.naver.com/place/1032830771/home,null,null,조용함,N,131,163,2,평탄,OPEN,N,UNKNOWN,"{""phone"":""070-4169-3432"",""latitude"":""37.5365986"",""store_id"":""S0003"",""active_yn"":""Y"",""age_group"":""60_PLUS"",""longitude"":""126.9983393"",""place_url"":""https://pcmap.place.naver.com/place/1032830771/home"",""atmosphere"":""조용함"",""store_name"":""노앙 한남 플래그십 스토어"",""visit_time"":""15:00"",""budget_code"":""FREE"",""day_of_week"":""금"",""gender_code"":null,""origin_id_x"":""ORG-S0057"",""origin_id_y"":""ORG-S0057"",""scenario_id"":""SCN-0009"",""slope_level"":""평탄"",""annotator_id"":""A03"",""category_sub"":""패션"",""price_status"":""UNKNOWN"",""purpose_code"":""BROWSE"",""road_address"":""서울특별시 용산구 이태원로45길 24"",""category_main"":""패션"",""category_group"":""소매"",""companion_type"":""FRIENDS"",""naver_place_id"":""1032830771"",""opening_status"":""OPEN"",""parking_status"":""N"",""shown_store_id"":""S0003"",""atmosphere_code"":""LIVELY"",""hill_preference"":""NO_PREFERENCE"",""origin_store_id"":""S0057"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""N"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""NO_PREFERENCE"",""available_time_code"":""NO_PREFERENCE"",""representative_item"":null,""destination_store_id"":""S0003"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":null,""straight_line_distance_m"":""131"",""estimated_walking_time_min"":""2"",""estimated_walking_distance_m"":""163""}"
run_007,b6e4aed694e8a2521dbd47c8f4531951fbe36b0202d5008ae19cfb8deb9cf068,46,ASN-0010,SCN-0010,A01,ACCEPTED,null,null,COMPLETED,2026-07-22 04:22:36.329202+00,ORG-S0010,S0010,토,10:00,FAMILY,null,null,FROM_60_TO_120,FREE,NO_PREFERENCE,LIVELY,NO_PREFERENCE,NO_PREFERENCE,S0012,몬타나 한남,소매,리빙,가구,서울특별시 용산구 이태원로49길 23 2층,https://pcmap.place.naver.com/place/2006595853/home,null,null,조용함,Y,88,111,1,평탄,OPEN,Y,UNKNOWN,"{""phone"":null,""latitude"":""37.5368722"",""store_id"":""S0012"",""active_yn"":""Y"",""age_group"":null,""longitude"":""126.9991706"",""place_url"":""https://pcmap.place.naver.com/place/2006595853/home"",""atmosphere"":""조용함"",""store_name"":""몬타나 한남"",""visit_time"":""10:00"",""budget_code"":""FREE"",""day_of_week"":""토"",""gender_code"":null,""origin_id_x"":""ORG-S0010"",""origin_id_y"":""ORG-S0010"",""scenario_id"":""SCN-0010"",""slope_level"":""평탄"",""annotator_id"":""A01"",""category_sub"":""가구"",""price_status"":""UNKNOWN"",""purpose_code"":""NO_PREFERENCE"",""road_address"":""서울특별시 용산구 이태원로49길 23 2층"",""category_main"":""리빙"",""category_group"":""소매"",""companion_type"":""FAMILY"",""naver_place_id"":""2006595853"",""opening_status"":""OPEN"",""parking_status"":""Y"",""shown_store_id"":""S0012"",""atmosphere_code"":""LIVELY"",""hill_preference"":""NO_PREFERENCE"",""origin_store_id"":""S0010"",""assignment_policy"":""BALANCED_RANDOM"",""parking_available"":""Y"",""atmosphere_display"":""조용함"",""origin_elevation_m"":""60"",""parking_preference"":""NO_PREFERENCE"",""available_time_code"":""FROM_60_TO_120"",""representative_item"":null,""destination_store_id"":""S0012"",""destination_elevation_m"":""60"",""estimated_slope_percent"":""0.0"",""estimated_uphill_gain_m"":""0"",""representative_price_krw"":null,""straight_line_distance_m"":""88"",""estimated_walking_time_min"":""1"",""estimated_walking_distance_m"":""111""}"
